Original Part,Alternative Part,Similarity Score
A40,A34,0.9012
A41,A42,0.9485
A41,A43,0.9485
A41,A44,0.9356
A41,A47,0.9216
A41,A35,0.8932
A42,A43,1.0
A42,A41,0.9485
A42,A46,0.9287
A42,A49,0.9141
A42,A37,0.8827
A43,A43,1.0
A43,A41,0.9485
A43,A46,0.9287
A43,A49,0.9141
A43,A37,0.8827
A44,A35,0.9449
A44,A46,0.944
A44,A41,0.9356
A44,A47,0.9328
A44,A50,0.8988
A45,A48,0.9553
A45,A36,0.9195
A45,A51,0.8963
A45,A54,0.8938
A45,A25,0.8805
A46,A44,0.944
A46,A37,0.9398
A46,A42,0.9287
A46,A43,0.9287
A46,A49,0.9265
A47,A49,0.9488
A47,A44,0.9328
A47,A41,0.9216
A47,A35,0.8948
A47,A17,0.8849
A48,A45,0.9553
A48,A51,0.8868
A48,A54,0.8848
A48,A36,0.8843
A48,A25,0.877
A49,A47,0.9488
A49,A46,0.9265
A49,A42,0.9141
A49,A43,0.9141
A49,A17,0.9059
A50,A52,0.9486
A50,A53,0.9178
A50,A44,0.8988
A50,A41,0.8864
A50,A19,0.8858
A51,A54,0.9445
A51,A45,0.8963
A51,A48,0.8868
A51,A36,0.8502
A51,A25,0.8431
A52,A50,0.9486
A52,A19,0.9105
A52,A55,0.9093
A52,A46,0.8874
A52,A42,0.8756
A53,A55,0.9502
A53,A50,0.9178
A53,A44,0.8974
A53,A41,0.8844
A53,A47,0.8834
A54,A51,0.9445
A54,A45,0.8938
A54,A48,0.8848
A54,A36,0.8469
A54,A25,0.8405
A55,A53,0.9502
A55,A52,0.9093
A55,A46,0.8855
A55,A42,0.873
A55,A43,0.873
A56,A57,0.9578
A56,A58,0.8731
A56,A44,0.8695
A56,A35,0.8682
A56,A47,0.8393
A57,A56,0.9578
A57,A59,0.8634
A57,A60,0.8634
A57,A46,0.8577
A57,A37,0.8555
A58,A59,0.9511
A58,A60,0.9511
A58,A20,0.8787
A58,A56,0.8731
A58,A44,0.8621
A59,A60,1.0
A59,A58,0.9511
A59,A20,0.897
A59,A57,0.8634
A59,A46,0.8478
A60,A60,1.0
A60,A58,0.9511
A60,A20,0.897
A60,A57,0.8634
A60,A46,0.8478
A61,A62,0.8924
A61,A357,0.7508
A61,A378,0.7096
A61,A284,0.7088
A61,A281,0.7064
A62,A61,0.8924
A62,A358,0.7483
A62,A280,0.7107
A62,A279,0.7086
A62,A380,0.706
A63,A66,0.9195
A63,A67,0.7434
A63,A69,0.6711
A63,A71,0.6494
A63,A70,0.6315
A64,A65,1.0
A64,A66,0.6281
A64,A69,0.6019
A64,A63,0.5981
A64,A71,0.5892
A65,A65,1.0
A65,A66,0.6281
A65,A69,0.6019
A65,A63,0.5981
A65,A71,0.5892
A66,A63,0.9195
A66,A67,0.7843
A66,A69,0.6772
A66,A64,0.6281
A66,A65,0.6281
A67,A72,0.8016
A67,A66,0.7843
A67,A63,0.7434
A67,A71,0.6507
A67,A70,0.6399
A68,A71,0.82
A68,A70,0.7642
A68,A69,0.6624
A68,A143,0.6483
A68,A73,0.6284
A69,A70,0.7165
A69,A71,0.7002
A69,A66,0.6772
A69,A63,0.6711
A69,A68,0.6624
A70,A71,0.8337
A70,A68,0.7642
A70,A73,0.743
A70,A69,0.7165
A70,A76,0.6585
A71,A70,0.8337
A71,A68,0.82
A71,A69,0.7002
A71,A73,0.6881
A71,A67,0.6507
A72,A67,0.8016
A72,A63,0.6275
A72,A66,0.6269
A72,A71,0.5895
A72,A70,0.5816
A73,A76,0.7741
A73,A70,0.743
A73,A71,0.6881
A73,A69,0.649
A73,A68,0.6284
A74,A75,0.9
A74,A441,0.4665
A74,A72,0.4175
A74,A142,0.391
A74,A77,0.3836
A75,A75,0.9
A75,A441,0.4665
A75,A72,0.4175
A75,A142,0.391
A75,A77,0.3836
A76,A73,0.7741
A76,A70,0.6585
A76,A71,0.6502
A76,A77,0.6344
A76,A78,0.6344
A77,A78,1.0
A77,A79,1.0
A77,A80,1.0
A77,A76,0.6344
A77,A142,0.5716
A78,A78,1.0
A78,A79,1.0
A78,A80,1.0
A78,A76,0.6344
A78,A142,0.5716
A79,A78,1.0
A79,A79,1.0
A79,A80,1.0
A79,A76,0.6344
A79,A142,0.5716
A80,A78,1.0
A80,A79,1.0
A80,A80,1.0
A80,A76,0.6344
A80,A142,0.5716
A81,A3,0.8946
A81,A247,0.8463
A81,A82,0.8451
A81,A246,0.8384
A81,A278,0.8311
A82,A22,0.8768
A82,A81,0.8451
A82,A475,0.8313
A82,A119,0.8071
A82,A258,0.8057
A83,A280,0.7321
A83,A360,0.6542
A83,A344,0.6532
A83,A290,0.6265
A83,A284,0.6243
A84,A381,0.5719
A84,A454,0.5436
A84,A123,0.5339
A84,A108,0.529
A84,A453,0.529
A85,A88,0.8927
A85,A86,0.8925
A85,A87,0.8912
A85,A103,0.8025
A85,A289,0.6604
A86,A85,0.8925
A86,A88,0.8915
A86,A87,0.8906
A86,A103,0.8
A86,A289,0.6571
A87,A88,0.8928
A87,A85,0.8912
A87,A86,0.8906
A87,A103,0.7991
A87,A289,0.6625
A88,A87,0.8928
A88,A85,0.8927
A88,A86,0.8915
A88,A103,0.8015
A88,A289,0.6622
A89,A90,0.938
A89,A265,0.7975
A89,A264,0.789
A89,A467,0.7832
A89,A407,0.7387
A90,A89,0.938
A90,A265,0.7894
A90,A467,0.7823
A90,A264,0.7817
A90,A326,0.7464
A91,A111,0.8195
A91,A12,0.7535
A91,A105,0.7222
A91,A1,0.7
A91,A253,0.6984
A92,A469,0.8561
A92,A324,0.855
A92,A1,0.8239
A92,A93,0.819
A92,A14,0.8051
A93,A3,0.8768
A93,A301,0.8715
A93,A246,0.8389
A93,A92,0.819
A93,A81,0.8142
A94,A117,0.7369
A94,A118,0.7271
A94,A347,0.6937
A94,A351,0.6883
A94,A349,0.6878
A95,A113,0.6644
A95,A88,0.563
A95,A85,0.5603
A95,A87,0.5598
A95,A86,0.5565
A96,A102,0.8445
A96,A361,0.8202
A96,A357,0.8103
A96,A359,0.8078
A96,A363,0.8071
A97,A100,0.9211
A97,A98,0.8725
A97,A1,0.8197
A97,A306,0.8073
A97,A31,0.8068
A98,A100,0.8737
A98,A97,0.8725
A98,A20,0.7492
A98,A99,0.7432
A98,A239,0.7426
A99,A15,0.8867
A99,A16,0.8517
A99,A10,0.844
A99,A2,0.8113
A99,A4,0.8069
A100,A97,0.9211
A100,A98,0.8737
A100,A22,0.8367
A100,A241,0.828
A100,A17,0.8217
A101,A139,0.8453
A101,A240,0.8182
A101,A238,0.8114
A101,A487,0.8029
A101,A393,0.7824
A102,A393,0.8851
A102,A96,0.8445
A102,A387,0.8113
A102,A402,0.805
A102,A391,0.803
A103,A85,0.8025
A103,A88,0.8015
A103,A86,0.8
A103,A87,0.7991
A103,A315,0.693
A104,A108,0.9045
A104,A106,0.895
A104,A109,0.8948
A104,A110,0.7953
A104,A116,0.7862
A105,A111,0.8726
A105,A91,0.7222
A105,A12,0.6928
A105,A235,0.5803
A105,A115,0.5738
A106,A108,0.9618
A106,A109,0.9553
A106,A104,0.895
A106,A110,0.8372
A106,A116,0.7869
A107,A11,0.7825
A107,A326,0.7661
A107,A320,0.7532
A107,A114,0.7505
A107,A295,0.7399
A108,A106,0.9618
A108,A109,0.9616
A108,A104,0.9045
A108,A110,0.8473
A108,A116,0.7913
A109,A108,0.9616
A109,A106,0.9553
A109,A104,0.8948
A109,A110,0.8402
A109,A116,0.7817
A110,A313,0.8908
A110,A22,0.8502
A110,A108,0.8473
A110,A109,0.8402
A110,A106,0.8372
A111,A105,0.8726
A111,A91,0.8195
A111,A12,0.7999
A111,A303,0.7351
A111,A408,0.6965
A112,A23,0.859
A112,A20,0.8561
A112,A110,0.8253
A112,A116,0.8019
A112,A59,0.7979
A113,A95,0.6644
A113,A88,0.6395
A113,A87,0.6376
A113,A85,0.6356
A113,A86,0.6313
A114,A115,0.8589
A114,A295,0.8472
A114,A22,0.8427
A114,A472,0.8401
A114,A23,0.8249
A115,A7,0.8694
A115,A114,0.8589
A115,A22,0.8152
A115,A23,0.8046
A115,A116,0.7881
A116,A321,0.8377
A116,A473,0.8295
A116,A480,0.8208
A116,A110,0.8148
A116,A408,0.8142
A117,A118,0.8656
A117,A94,0.7369
A117,A351,0.6569
A117,A347,0.656
A117,A345,0.6558
A118,A117,0.8656
A118,A94,0.7271
A118,A351,0.6548
A118,A345,0.6543
A118,A347,0.6519
A119,A475,0.8533
A119,A82,0.8071
A119,A258,0.7988
A119,A259,0.7988
A119,A17,0.7982
A120,A106,0.7741
A120,A293,0.7318
A120,A108,0.7224
A120,A104,0.7195
A120,A467,0.7194
A121,A217,0.8338
A121,A481,0.8184
A121,A310,0.7823
A121,A404,0.7733
A121,A311,0.7704
A122,A429,0.7311
A122,A965,0.68
A122,A823,0.6769
A122,A824,0.6769
A122,A825,0.6769
A123,A84,0.5339
A123,A126,0.5275
A123,A125,0.5235
A123,A124,0.5213
A123,A105,0.5209
A124,A125,0.8959
A124,A126,0.8943
A124,A358,0.5858
A124,A362,0.5858
A124,A361,0.5858
A125,A126,0.9009
A125,A124,0.8959
A125,A334,0.634
A125,A357,0.6142
A125,A378,0.5823
A126,A125,0.9009
A126,A124,0.8943
A126,A361,0.5906
A126,A358,0.5898
A126,A360,0.5878
A127,A16,0.5728
A127,A15,0.5698
A127,A2,0.5686
A127,A4,0.5679
A127,A99,0.5598
A132,A339,0.7193
A132,A333,0.7024
A132,A335,0.6969
A132,A495,0.6489
A132,A523,0.6477
A133,A134,0.9354
A133,A299,0.814
A133,A409,0.8076
A133,A341,0.8056
A133,A308,0.8051
A134,A133,0.9354
A134,A303,0.8377
A134,A55,0.8283
A134,A235,0.7962
A134,A53,0.794
A135,A136,0.7686
A135,A137,0.7447
A135,A157,0.7403
A135,A24,0.7214
A135,A9,0.6901
A136,A137,0.8972
A136,A135,0.7686
A136,A175,0.7192
A136,A172,0.716
A136,A187,0.7143
A137,A136,0.8972
A137,A110,0.7618
A137,A135,0.7447
A137,A163,0.7099
A137,A49,0.7078
A138,A139,0.7934
A138,A101,0.734
A138,A121,0.7253
A138,A238,0.7231
A138,A240,0.7214
A139,A101,0.8453
A139,A487,0.802
A139,A138,0.7934
A139,A121,0.7302
A139,A240,0.7295
A140,A141,0.9136
A140,A142,0.8224
A140,A143,0.6936
A140,A76,0.6061
A140,A73,0.5928
A141,A140,0.9136
A141,A142,0.7642
A141,A143,0.7015
A141,A73,0.5846
A141,A76,0.5675
A142,A140,0.8224
A142,A141,0.7642
A142,A76,0.5869
A142,A143,0.5863
A142,A77,0.5716
A143,A141,0.7015
A143,A140,0.6936
A143,A68,0.6483
A143,A69,0.6455
A143,A71,0.6407
A145,A146,0.9328
A145,A154,0.8962
A145,A150,0.8884
A145,A156,0.8795
A145,A152,0.8594
A146,A145,0.9328
A146,A151,0.8969
A146,A147,0.8969
A146,A149,0.8926
A146,A148,0.8917
A147,A151,0.8988
A147,A146,0.8969
A147,A149,0.8968
A147,A148,0.8936
A147,A154,0.842
A148,A151,0.8978
A148,A147,0.8936
A148,A149,0.8927
A148,A146,0.8917
A148,A154,0.8454
A149,A151,0.8986
A149,A147,0.8968
A149,A148,0.8927
A149,A146,0.8926
A149,A154,0.8429
A150,A154,0.9887
A150,A151,0.9388
A150,A145,0.8884
A150,A156,0.8846
A150,A152,0.8723
A151,A150,0.9388
A151,A154,0.932
A151,A147,0.8988
A151,A149,0.8986
A151,A148,0.8978
A152,A154,0.8728
A152,A150,0.8723
A152,A145,0.8594
A152,A156,0.8569
A152,A153,0.8427
A153,A154,0.8672
A153,A150,0.8641
A153,A145,0.8528
A153,A156,0.8513
A153,A152,0.8427
A154,A150,0.9887
A154,A151,0.932
A154,A156,0.8984
A154,A145,0.8962
A154,A152,0.8728
A155,A569,0.6143
A155,A560,0.6085
A155,A583,0.5964
A155,A564,0.5958
A155,A562,0.5932
A156,A154,0.8984
A156,A150,0.8846
A156,A145,0.8795
A156,A152,0.8569
A156,A153,0.8513
A157,A172,0.9399
A157,A175,0.9374
A157,A187,0.9368
A157,A160,0.9316
A157,A169,0.9295
A158,A193,0.9887
A158,A159,0.9769
A158,A194,0.9657
A158,A173,0.9328
A158,A176,0.9304
A159,A194,0.9882
A159,A158,0.9769
A159,A193,0.9665
A159,A174,0.9321
A159,A189,0.9295
A160,A175,0.9427
A160,A172,0.9395
A160,A187,0.9392
A160,A157,0.9316
A160,A166,0.9315
A161,A195,0.9889
A161,A162,0.9771
A161,A196,0.9661
A161,A176,0.9374
A161,A173,0.9344
A162,A196,0.9884
A162,A161,0.9771
A162,A195,0.967
A162,A177,0.9355
A162,A174,0.9327
A163,A172,0.9214
A163,A175,0.9208
A163,A187,0.9207
A163,A169,0.9144
A163,A160,0.914
A164,A165,0.9765
A164,A197,0.9757
A164,A198,0.9553
A164,A173,0.9192
A164,A188,0.9187
A165,A164,0.9765
A165,A198,0.9762
A165,A197,0.9532
A165,A174,0.9177
A165,A189,0.9173
A166,A187,0.9371
A166,A175,0.9368
A166,A172,0.9364
A166,A160,0.9315
A166,A169,0.9299
A167,A199,0.989
A167,A168,0.9772
A167,A200,0.9664
A167,A176,0.9331
A167,A188,0.933
A168,A200,0.9885
A168,A167,0.9772
A168,A199,0.9671
A168,A189,0.9317
A168,A177,0.9312
A169,A172,0.988
A169,A175,0.9877
A169,A187,0.9872
A169,A160,0.9313
A169,A184,0.9302
A170,A173,0.9909
A170,A176,0.9908
A170,A188,0.9905
A170,A201,0.988
A170,A203,0.9796
A171,A177,0.9912
A171,A189,0.9911
A171,A174,0.991
A171,A202,0.9875
A171,A210,0.9797
A172,A187,0.9974
A172,A175,0.9966
A172,A169,0.988
A172,A184,0.9424
A172,A157,0.9399
A173,A188,0.9978
A173,A176,0.9971
A173,A170,0.9909
A173,A203,0.9882
A173,A209,0.9863
A174,A189,0.9979
A174,A177,0.9972
A174,A171,0.991
A174,A204,0.9876
A174,A210,0.9858
A175,A172,0.9966
A175,A187,0.9954
A175,A169,0.9877
A175,A160,0.9427
A175,A184,0.9402
A176,A173,0.9971
A176,A188,0.9963
A176,A170,0.9908
A176,A205,0.9882
A176,A203,0.9857
A177,A174,0.9972
A177,A189,0.9965
A177,A171,0.9912
A177,A206,0.9876
A177,A204,0.9852
A178,A187,0.925
A178,A175,0.923
A178,A172,0.9228
A178,A184,0.9127
A178,A169,0.9098
A179,A180,0.9228
A179,A188,0.9192
A179,A176,0.9175
A179,A173,0.9172
A179,A209,0.9111
A180,A179,0.9228
A180,A189,0.9162
A180,A174,0.9133
A180,A177,0.9125
A180,A210,0.907
A181,A187,0.9329
A181,A172,0.9294
A181,A175,0.9274
A181,A184,0.9206
A181,A169,0.9165
A182,A183,0.9798
A182,A188,0.927
A182,A173,0.9241
A182,A176,0.9225
A182,A209,0.9178
A183,A182,0.9798
A183,A189,0.9239
A183,A174,0.9211
A183,A177,0.9195
A183,A210,0.9142
A184,A187,0.9456
A184,A172,0.9424
A184,A175,0.9402
A184,A169,0.9302
A184,A190,0.9265
A185,A207,0.9894
A185,A186,0.9778
A185,A208,0.9672
A185,A188,0.9404
A185,A173,0.9377
A186,A208,0.9889
A186,A185,0.9778
A186,A207,0.9681
A186,A189,0.9375
A186,A174,0.935
A187,A172,0.9974
A187,A175,0.9954
A187,A169,0.9872
A187,A184,0.9456
A187,A160,0.9392
A188,A173,0.9978
A188,A176,0.9963
A188,A170,0.9905
A188,A209,0.9882
A188,A203,0.9858
A189,A174,0.9979
A189,A177,0.9965
A189,A171,0.9911
A189,A210,0.9876
A189,A204,0.9854
A190,A187,0.9391
A190,A172,0.9362
A190,A175,0.934
A190,A184,0.9265
A190,A169,0.9235
A191,A211,0.9898
A191,A192,0.9789
A191,A212,0.9689
A191,A188,0.9336
A191,A173,0.9312
A192,A212,0.9894
A192,A191,0.9789
A192,A211,0.9697
A192,A189,0.9305
A192,A174,0.9282
A193,A158,0.9887
A193,A194,0.9783
A193,A159,0.9665
A193,A203,0.9367
A193,A205,0.9346
A194,A159,0.9882
A194,A193,0.9783
A194,A158,0.9657
A194,A204,0.9364
A194,A210,0.934
A195,A161,0.9889
A195,A196,0.9786
A195,A162,0.967
A195,A205,0.9415
A195,A203,0.9385
A196,A162,0.9884
A196,A195,0.9786
A196,A161,0.9661
A196,A206,0.9398
A196,A204,0.937
A197,A198,0.9785
A197,A164,0.9757
A197,A165,0.9532
A197,A203,0.9352
A197,A205,0.9351
A198,A197,0.9785
A198,A165,0.9762
A198,A164,0.9553
A198,A210,0.934
A198,A204,0.934
A199,A167,0.989
A199,A200,0.9786
A199,A168,0.9671
A199,A205,0.9375
A199,A209,0.9374
A200,A168,0.9885
A200,A199,0.9786
A200,A167,0.9664
A200,A210,0.9363
A200,A206,0.9359
A201,A205,0.9908
A201,A203,0.9908
A201,A209,0.9906
A201,A170,0.988
A201,A176,0.9787
A202,A206,0.9911
A202,A210,0.9911
A202,A204,0.9909
A202,A171,0.9875
A202,A177,0.9784
A203,A209,0.9979
A203,A205,0.9972
A203,A201,0.9908
A203,A173,0.9882
A203,A188,0.9858
A204,A210,0.998
A204,A206,0.9973
A204,A202,0.9909
A204,A174,0.9876
A204,A189,0.9854
A205,A203,0.9972
A205,A209,0.9965
A205,A201,0.9908
A205,A176,0.9882
A205,A173,0.985
A206,A204,0.9973
A206,A210,0.9966
A206,A202,0.9911
A206,A177,0.9876
A206,A174,0.9845
A207,A185,0.9894
A207,A208,0.9793
A207,A186,0.9681
A207,A209,0.9446
A207,A203,0.942
A208,A186,0.9889
A208,A207,0.9793
A208,A185,0.9672
A208,A210,0.9422
A208,A204,0.9397
A209,A203,0.9979
A209,A205,0.9965
A209,A201,0.9906
A209,A188,0.9882
A209,A173,0.9863
A210,A204,0.998
A210,A206,0.9966
A210,A202,0.9911
A210,A189,0.9876
A210,A174,0.9858
A211,A191,0.9898
A211,A212,0.9803
A211,A192,0.9697
A211,A209,0.9382
A211,A203,0.9359
A212,A192,0.9894
A212,A211,0.9803
A212,A191,0.9689
A212,A210,0.9356
A212,A204,0.9333
A213,A216,0.7819
A213,A218,0.7513
A213,A227,0.7342
A213,A229,0.719
A213,A231,0.7176
A214,A225,0.719
A214,A227,0.7163
A214,A213,0.6728
A214,A216,0.6715
A214,A229,0.6705
A215,A216,0.7301
A215,A229,0.7174
A215,A225,0.7167
A215,A231,0.7166
A215,A223,0.7163
A216,A213,0.7819
A216,A227,0.7374
A216,A215,0.7301
A216,A223,0.7236
A216,A229,0.7229
A217,A228,0.8506
A217,A121,0.8338
A217,A281,0.8299
A217,A284,0.822
A217,A482,0.8059
A218,A213,0.7513
A218,A229,0.7487
A218,A231,0.7471
A218,A232,0.745
A218,A223,0.7428
A219,A239,0.889
A219,A288,0.8832
A219,A308,0.8466
A219,A341,0.8356
A219,A299,0.8264
A220,A229,0.7609
A220,A231,0.7598
A220,A232,0.7568
A220,A223,0.7542
A220,A224,0.7485
A221,A229,0.7462
A221,A231,0.7443
A221,A232,0.743
A221,A223,0.7417
A221,A220,0.7377
A222,A226,0.8448
A222,A228,0.8435
A222,A230,0.8267
A222,A217,0.7728
A222,A338,0.7681
A223,A229,0.7647
A223,A231,0.7629
A223,A232,0.7616
A223,A224,0.7594
A223,A220,0.7542
A224,A229,0.7611
A224,A223,0.7594
A224,A231,0.7584
A224,A232,0.7572
A224,A220,0.7485
A225,A227,0.7495
A225,A214,0.719
A225,A215,0.7167
A225,A216,0.7025
A225,A213,0.7014
A226,A338,0.897
A226,A222,0.8448
A226,A228,0.843
A226,A230,0.8263
A226,A217,0.7724
A227,A225,0.7495
A227,A216,0.7374
A227,A229,0.7372
A227,A231,0.7357
A227,A213,0.7342
A228,A217,0.8506
A228,A222,0.8435
A228,A226,0.843
A228,A230,0.8373
A228,A343,0.7829
A229,A231,0.7696
A229,A232,0.768
A229,A223,0.7647
A229,A224,0.7611
A229,A220,0.7609
A230,A343,0.9202
A230,A228,0.8373
A230,A222,0.8267
A230,A226,0.8263
A230,A217,0.776
A231,A229,0.7696
A231,A232,0.765
A231,A223,0.7629
A231,A220,0.7598
A231,A224,0.7584
A232,A229,0.768
A232,A231,0.765
A232,A223,0.7616
A232,A224,0.7572
A232,A220,0.7568
A233,A295,0.9408
A233,A234,0.9302
A233,A270,0.9031
A233,A299,0.8865
A233,A243,0.8815
A234,A241,0.9312
A234,A233,0.9302
A234,A239,0.9176
A234,A295,0.8798
A234,A286,0.869
A235,A303,0.884
A235,A249,0.8814
A235,A233,0.8641
A235,A250,0.8308
A235,A299,0.8289
A236,A342,0.9
A236,A576,0.4262
A236,A372,0.2021
A236,A374,0.2003
A236,A368,0.1979
A237,A484,0.7845
A237,A11,0.7706
A237,A241,0.767
A237,A234,0.7642
A237,A239,0.7618
A238,A240,0.9162
A238,A389,0.8615
A238,A334,0.8423
A238,A343,0.8397
A238,A338,0.8376
A239,A234,0.9176
A239,A241,0.9143
A239,A219,0.889
A239,A288,0.8741
A239,A255,0.8568
A240,A238,0.9162
A240,A387,0.8533
A240,A334,0.8526
A240,A338,0.85
A240,A343,0.8482
A241,A234,0.9312
A241,A239,0.9143
A241,A258,0.896
A241,A259,0.896
A241,A17,0.8753
A242,A266,0.9822
A242,A256,0.9272
A242,A275,0.9242
A242,A245,0.924
A242,A243,0.9191
A243,A271,0.986
A243,A256,0.9312
A243,A275,0.9245
A243,A245,0.9242
A243,A270,0.9239
A244,A274,0.9038
A244,A256,0.8488
A244,A275,0.8472
A244,A245,0.8438
A244,A243,0.8433
A245,A256,0.9916
A245,A275,0.9891
A245,A243,0.9242
A245,A242,0.924
A245,A255,0.9216
A246,A3,0.8986
A246,A247,0.8781
A246,A249,0.8642
A246,A255,0.8607
A246,A278,0.8582
A247,A278,0.9873
A247,A263,0.9401
A247,A256,0.9201
A247,A245,0.9188
A247,A275,0.9175
A248,A289,0.9002
A248,A285,0.8941
A248,A323,0.822
A248,A300,0.8048
A248,A456,0.8012
A249,A250,0.9254
A249,A255,0.9056
A249,A258,0.892
A249,A259,0.892
A249,A253,0.8874
A250,A249,0.9254
A250,A256,0.9185
A250,A275,0.9179
A250,A245,0.9175
A250,A242,0.9024
A251,A349,0.6794
A251,A347,0.6524
A251,A353,0.6498
A251,A351,0.6477
A251,A922,0.6334
A252,A265,0.8943
A252,A253,0.8901
A252,A254,0.8563
A252,A264,0.8317
A252,A255,0.8164
A253,A254,0.936
A253,A255,0.9321
A253,A258,0.9193
A253,A259,0.9193
A253,A1,0.894
A254,A253,0.936
A254,A275,0.9246
A254,A256,0.9237
A254,A245,0.9162
A254,A271,0.9085
A255,A258,0.9354
A255,A259,0.9354
A255,A253,0.9321
A255,A256,0.9272
A255,A245,0.9216
A256,A275,0.995
A256,A245,0.9916
A256,A243,0.9312
A256,A271,0.9284
A256,A242,0.9272
A257,A272,0.8973
A257,A275,0.8899
A257,A256,0.8854
A257,A245,0.8785
A257,A271,0.8772
A258,A259,1.0
A258,A255,0.9354
A258,A253,0.9193
A258,A241,0.896
A258,A270,0.8922
A259,A259,1.0
A259,A255,0.9354
A259,A253,0.9193
A259,A241,0.896
A259,A270,0.8922
A260,A277,0.9422
A260,A275,0.914
A260,A256,0.9072
A260,A271,0.9006
A260,A274,0.8986
A261,A2,0.6648
A261,A258,0.6541
A261,A259,0.6541
A261,A119,0.6279
A261,A313,0.6226
A263,A278,0.9537
A263,A247,0.9401
